state,location,plz
Schleswig Holstein,Boksee,24220
Bayern,Kolitzheim,97509
Rheinland Pfalz,Waldrach,54320
Sachsen,Hormersdorf,8297
Schleswig Holstein,Lübeck,23556
Sachsen Anhalt,Klein Rodensleben,39164
Bayern,Dörfles Esbach,96487
Rheinland Pfalz,Haßloch,67454
Mecklenburg Vorpommern,Zinnowitz,17454
Mecklenburg Vorpommern,Strasburg Uckermark,17335
Berlin,Berlin,14050
Bayern,Kempten Allgäu,87437
Hessen,Hochheim am Main,65239
Bayern,Vierkirchen,85256
Hamburg,Hamburg,20355
Baden Württemberg,Seitingen Oberflacht,78606
Niedersachsen,Schüttorf,48465
Niedersachsen,Hinte,26759
Bayern,Nürnberg,90471
Berlin,Berlin,12161
Bayern,Burglengenfeld,93133
Schleswig Holstein,Pellworm,25849
Hessen,Wettenberg,35435
Baden Württemberg,Ofterdingen,72131
Brandenburg,Rietz Neuendorf,15848
Rheinland Pfalz,Neitersen,57638
Brandenburg,Falkensee,14612
Bayern,Oberstdorf,87561
Bayern,Neustadt an der Aisch,91413
Nordrhein Westfalen,Ratingen,40833
Mecklenburg Vorpommern,Dranske,18556
Berlin,Berlin,12355
Nordrhein Westfalen,Altenbeken,33184
Sachsen Anhalt,Lutherstadt Wittenberg,6888
Thüringen,Lucka,4613
Schleswig Holstein,Stelle Wittenwurth,25795
Sachsen Anhalt,Schraplau,6279
Baden Württemberg,Gengenbach,77723
Rheinland Pfalz,Kyllburg,54655
Sachsen Anhalt,Elbe Parey,39317
Baden Württemberg,Oberndorf am Neckar,78727
Thüringen,Bucha,7751
Rheinland Pfalz,Rhaunen,55624
Baden Württemberg,Rot an der Rot,88430
Baden Württemberg,Vaihingen an der Enz,71665
Bayern,Seybothenreuth,95517
Bayern,Scheyern,85298
Saarland,Kirkel,66459
Baden Württemberg,Ulm,89079
Baden Württemberg,Villingen Schwenningen,78050
Baden Württemberg,Baden Baden,76534
Baden Württemberg,Löffingen,79843
Baden Württemberg,Todtmoos,79682
Niedersachsen,Ottersberg,28870
Niedersachsen,Horneburg,21640
Rheinland Pfalz,Weisel,56348
Baden Württemberg,Mosbach,74821
Baden Württemberg,Konstanz,78467
Bayern,Gunzenhausen,91710
Hessen,Dautphetal,35232
Nordrhein Westfalen,Greven,48268
Nordrhein Westfalen,Olpe,57462
Hessen,Nauheim,64569
Niedersachsen,Adendorf,21365
Bayern,Volkach,97332
Sachsen Anhalt,Haldensleben,39430
Sachsen,Claußnitz,9236
Baden Württemberg,Boxberg,97944
Niedersachsen,Schwienau,29593
Bayern,Hebertshausen,85241
Berlin,Berlin,12353
Berlin,Berlin,10171
Nordrhein Westfalen,Bochum,44799
Baden Württemberg,Stuttgart,70374
Baden Württemberg,Gärtringen,71116
Nordrhein Westfalen,Bad Driburg,33014
Baden Württemberg,Oberteuringen,88094
Nordrhein Westfalen,Bielefeld,33617
Bayern,München,81243
Rheinland Pfalz,Rockenhausen,67806
Nordrhein Westfalen,Bielefeld,33729
Nordrhein Westfalen,Dortmund,44679
Baden Württemberg,Hardheim,74736
Baden Württemberg,Wannweil,72827
Nordrhein Westfalen,Niederkrüchten,41372
Niedersachsen,Borkum,26757
Baden Württemberg,Freiburg im Breisgau,79111
Bayern,Kümmersbruck,92245
Niedersachsen,Bovenden,37120
Rheinland Pfalz,Pirmasens,66954
Rheinland Pfalz,Offenbach Hundheim,67749
Thüringen,Ellrich,99755
Bayern,Mindelheim,87719
Niedersachsen,Wennigsen Deister,30974
Baden Württemberg,Freiburg im Breisgau,79108
Mecklenburg Vorpommern,Kühlungsborn,18225
Sachsen Anhalt,Schwanebeck,39397
Bremen,Bremerhaven,27580
Rheinland Pfalz,Billigheim Ingenheim,76831
Schleswig Holstein,Friedrichstadt,25840
Baden Württemberg,Neuenburg am Rhein,79395
Nordrhein Westfalen,Wuppertal,42399
Nordrhein Westfalen,Schleiden,53937
Bayern,Haag in Oberbayern,83527
Bayern,Lohr am Main,97816
Bayern,Füssen,87629
Baden Württemberg,Freiburg im Breisgau,79106
Bayern,München,80995
Sachsen,Reichenbach/Oberlausitz,2894
Niedersachsen,Melle,49324
Bayern,Wiedergeltingen,86879
Schleswig Holstein,Witzhave,22969
Nordrhein Westfalen,Olsberg,59939
Thüringen,Gößnitz,4639
Nordrhein Westfalen,Breckerfeld,58339
Berlin,Berlin,12279
Niedersachsen,Braunlage,38700
Bayern,Arnstein,97450
Hessen,Breidenbach,35236
Rheinland Pfalz,Altendiez,65624
Niedersachsen,Ebergötzen,37136
Hamburg,Hamburg,21109
Baden Württemberg,Unterensingen,72669
Nordrhein Westfalen,Köln,50829
Baden Württemberg,Hechingen,72379
Niedersachsen,Leiferde,38542
Bayern,Wartenberg,85456
Nordrhein Westfalen,Espelkamp,32339
Sachsen Anhalt,Hecklingen,39444
Bayern,Kupferberg,95362
Baden Württemberg,Großbettlingen,72663
Niedersachsen,Hanstedt,21271
Hessen,Stadtallendorf,35260
Hessen,Fronhausen,35112
Bayern,Zolling,85406
Bayern,Hurlach,86857
Bayern,Essenbach,84051
Baden Württemberg,Karlsruhe,76149
Hamburg,Hamburg,21147
Thüringen,Schmiedefeld am Rennsteig,98711
Mecklenburg Vorpommern,Heringsdorf,17419
Niedersachsen,Lutter am Barenberge,38729
Niedersachsen,Hattorf am Harz,37197
Thüringen,Schlotheim,99994
Bayern,Schwabach,91126
Brandenburg,Potsdam,14471
Bayern,Miesbach,83714
Brandenburg,Sonnewalde,3249
Baden Württemberg,Künzelsau,74653
Baden Württemberg,Konstanz,78462
Niedersachsen,Osnabrück,49082
Niedersachsen,Bahrenborstel,27245
Bayern,Feldkirchen,85622
Baden Württemberg,Sinzheim,76547
Bayern,Gräfelfing,82166
Baden Württemberg,Holzgerlingen,71088
Bayern,Karlstadt,97753
Bayern,Kürnach,97273
Bayern,Horgau,86497
Bayern,Nürnberg,90427
Niedersachsen,Friedeburg,26446
Bayern,Niederviehbach,83183
Bayern,Obing,83119
Bayern,Oberasbach,90522
Nordrhein Westfalen,Ratingen,40588
Schleswig Holstein,Lübeck,23566
Rheinland Pfalz,Sankt Goar,56329
Baden Württemberg,Ilvesheim,68549
Rheinland Pfalz,Kaiserslautern,67661
Niedersachsen,Peine,31228
Bayern,Nußdorf am Inn,83131
Niedersachsen,Himmelpforten,21709
Baden Württemberg,Glottertal,79286
Sachsen,Großpösna,4463
Rheinland Pfalz,Carlsberg,67316
Rheinland Pfalz,Bruttig Fankel,56814
Baden Württemberg,Sandhausen,69207
Mecklenburg Vorpommern,Bad Kleinen,23996
Nordrhein Westfalen,Rahden,32369
Nordrhein Westfalen,Hövelhof,33161
Berlin,Berlin,10823
Hamburg,Hamburg,20257
Baden Württemberg,Flein,74223
Baden Württemberg,Ehningen,71139
Bayern,Rückersdorf,90607
Niedersachsen,Rosengarten,21224
Hessen,Kirchhain,35274
Hessen,Liederbach am Taunus,65835
Baden Württemberg,Gundelfingen,79194
Berlin,Berlin,10369
Baden Württemberg,Murg,79730
Rheinland Pfalz,Holzappel,56379
Saarland,Wallerfangen,66798
Niedersachsen,Parsau,38470
Berlin,Berlin,12159
Berlin,Berlin,13599
Sachsen Anhalt,Balgstädt,6632
Baden Württemberg,Vöhrenbach,78147
Bayern,Lengdorf,84435
Bayern,Stadtbergen,86391
Bayern,Stiefenhofen,88167
Bayern,Pfaffing,83539
Niedersachsen,Winsen Aller,29308
Nordrhein Westfalen,Uedem,47589
Baden Württemberg,Kirchardt,74912
Baden Württemberg,Wiernsheim,75446
Berlin,Berlin,12055
Baden Württemberg,Massenbachhausen,74252
Schleswig Holstein,Rohlstorf,23821
Rheinland Pfalz,Hauenstein,76846
Bayern,Lenggries,83661
Brandenburg,Kremmen,16766
Schleswig Holstein,Eggstedt,25721
Schleswig Holstein,Schwentinental,24223
Baden Württemberg,Freiburg im Breisgau,79098
Bayern,Stammbach,95236
Baden Württemberg,Eningen unter Achalm,72800
Sachsen,Schlettau,9487
Brandenburg,Dahme/Mark,15936
Hessen,Groß Umstadt,64823
Bayern,Thyrnau,94136
Niedersachsen,Pattensen,30982
Hessen,Schlitz,36110
Baden Württemberg,Ravenstein,74747
Bayern,Ergolding,84030
Hessen,Kaufungen,34260
Nordrhein Westfalen,Bestwig,59909
Thüringen,Berlstedt,99439
Baden Württemberg,Herbrechtingen,89542
Thüringen,Pößneck,7381
Niedersachsen,Wolfenbüttel,38300
Sachsen Anhalt,Zschornewitz,6772
Sachsen Anhalt,Gröbitz,6682
Sachsen Anhalt,Löbejün,6193
Niedersachsen,Bücken,27333
Rheinland Pfalz,Otterbach,67731
Rheinland Pfalz,Bacharach,55422
Baden Württemberg,Ludwigsburg,71642
Bayern,Bad Brückenau,97769
Nordrhein Westfalen,Dortmund,4428
Sachsen,Auerbach,9392
Thüringen,Neustadt an der Orla,7806
Schleswig Holstein,Jagel,24878
Bayern,Wiesau,95676
Bayern,Ochsenfurt,97199
Baden Württemberg,Blumberg,78176
Niedersachsen,Bendestorf,21227
Schleswig Holstein,Jübek,24855
Sachsen,Halsbrücke,9633
Thüringen,Wurzbach,7343
Bayern,Buttenheim,96155
Brandenburg,Seelow,15306
Hessen,Frankfurt am Main,60386
Nordrhein Westfalen,Krefeld,47839
Mecklenburg Vorpommern,Zarrentin am Schaalsee,19246
Bayern,Schwarzenbach an der Saale,95126
Thüringen,Oldisleben,6578
Hessen,Ebsdorfergrund,35085
Thüringen,Treffurt,99830
Bayern,Geisenhausen,84144
Baden Württemberg,Elzach,79215
Nordrhein Westfalen,Wadersloh,59329
Sachsen Anhalt,Bad Suderode,6485
Baden Württemberg,Waldbronn,76337
Nordrhein Westfalen,Kerpen,50171
Niedersachsen,Loxstedt,27612
Schleswig Holstein,Gelting,24395
Niedersachsen,Lemwerder,27809
Bayern,Ehingen,91725
Bayern,Allershausen,85391
Bayern,Bad Endorf,83093
Hessen,Limburg an der Lahn,56412
Bayern,Antdorf,82387
Hessen,Limburg an der Lahn,65551
Baden Württemberg,Michelfeld,74545
Mecklenburg Vorpommern,Walow,17209
Nordrhein Westfalen,Ibbenbüren,49479
Nordrhein Westfalen,Hilden,40724
Bayern,Bruckmühl,83052
Bayern,Niederviehbach,84183
Berlin,Berlin,12305
Niedersachsen,Tarmstedt,27412
Niedersachsen,Altenmedingen,29575
Rheinland Pfalz,Vendersheim,55578
Baden Württemberg,Külsheim,97900
Rheinland Pfalz,Urbar,56712
Bayern,Creußen,95473
Rheinland Pfalz,Plaidt,56673
Rheinland Pfalz,Linz am Rhein,53545
Niedersachsen,Ankum,49577
Rheinland Pfalz,Salm,54570
Berlin,Berlin,12103
Berlin,Berlin,10407
Hessen,Freigericht,63579
Schleswig Holstein,Neversdorf,23816
Rheinland Pfalz,Kaltenengers,56220
Rheinland Pfalz,Rülzheim,76761
Rheinland Pfalz,Emmelshausen,56281
Hamburg,Hamburg,22296
Sachsen Anhalt,Braunsbedra,6259
Berlin,Berlin,14089
Niedersachsen,Hannover,30453
Thüringen,Krölpa,7387
Sachsen Anhalt,Tangerhütte,39517
Thüringen,Straußfurt,99634
Nordrhein Westfalen,Lippetal,59510
Niedersachsen,Amt Neuhaus,19273
Nordrhein Westfalen,Niederzier,52382
Schleswig Holstein,Schwedeneck,24229
Bayern,Althegnenberg,82278
Mecklenburg Vorpommern,Grimmen,18509
Baden Württemberg,Waldstetten,73550
Sachsen,Halsbrücke,9600
Sachsen,Schildau,4889
Bayern,Bayreuth,95445
Sachsen,Spreetal,2979
Nordrhein Westfalen,Möhnesee,59519
Nordrhein Westfalen,Lienen,49536
Mecklenburg Vorpommern,Dargun,17159
Bayern,Fraunberg,85447
Rheinland Pfalz,Wörrstadt,55286
Nordrhein Westfalen,Horstmar,48612
Berlin,Berlin,10787
Bayern,Kahl am Main,63796
Rheinland Pfalz,Ochtendung,56299
Thüringen,Dachwig,99100
Bayern,Kranzberg,85402
Rheinland Pfalz,Zell Mosel,56856
Niedersachsen,Lingen Ems,49811
Thüringen,Emsetal,99880
Nordrhein Westfalen,Krefeld,47893
Rheinland Pfalz,Diez,65582
Schleswig Holstein,Wanderup,24997
Saarland,Mettlach,66693
Niedersachsen,Wittmund,26409
Bayern,Unterföhring,85774
Schleswig Holstein,Reinfeld Holstein,23858
Nordrhein Westfalen,Mettmann,40288
Baden Württemberg,Merklingen,89188
Niedersachsen,Handorf,21447
Bayern,Rain,94369
Niedersachsen,Grasberg,28879
Schleswig Holstein,Kronshagen,24119
Thüringen,Kranichfeld,99448
Hessen,Idstein,65110
Baden Württemberg,Großerlach,71577
Schleswig Holstein,Glinde,21509
Nordrhein Westfalen,Nachrodt Wiblingwerde,58769
Hessen,Ortenberg,63683
Bayern,Edling,83533
Nordrhein Westfalen,Merzenich,52399
Nordrhein Westfalen,Duisburg,47168
Sachsen,Hohnstein,1848
Sachsen,Geringswalde,9326
Niedersachsen,Clenze,29459
Niedersachsen,Edemissen,31234
Niedersachsen,Delligsen,31073
Baden Württemberg,Eriskirch,88097
Brandenburg,Groß Köris,15746
Rheinland Pfalz,Neuhofen,67141
Bayern,Eltmann,97483
Baden Württemberg,Sulzbach an der Murr,71560
Baden Württemberg,Höchenschwand,79862
Brandenburg,Schwarzheide,1987
Bayern,Höslwang,83129
Schleswig Holstein,Westerrönfeld,24784
Bayern,Miltenberg,63897
Bayern,Geiselhöring,94333
Niedersachsen,Garbsen,30823
Sachsen Anhalt,Wetterzeube,6722
Niedersachsen,Rhauderfehn,26817
Nordrhein Westfalen,Brilon,59929
Sachsen Anhalt,Hinsdorf,6386
Bayern,Weitnau,87480
Bayern,Eggenfelden,84307
Baden Württemberg,Tamm,71732
Mecklenburg Vorpommern,Alt Schwerin,17214
Rheinland Pfalz,Seibersbach,55444
Berlin,Berlin,10827
Hessen,Biebesheim am Rhein,64584
Rheinland Pfalz,Lemberg,66969
Baden Württemberg,Affalterbach,71563
Niedersachsen,Steyerberg,31595
Nordrhein Westfalen,Mönchengladbach,42138
Bayern,Vorra,91247
Brandenburg,Lychen,17279
Baden Württemberg,Vogtsburg im Kaiserstuhl,79235
Bayern,Bad Neustadt an der Saale,97616
Sachsen Anhalt,Langenbogen,6179
Brandenburg,Beelitz,14547
Hessen,Bad Endbach,35080
Sachsen,Gohrisch,1824
Niedersachsen,Bad Iburg,49186
Rheinland Pfalz,Langsur,54308
Hessen,Lauterbach Hessen,36341
Bayern,Wendelstein,90530
Bayern,Prittriching,86931
Schleswig Holstein,Ammersbek,22949
Niedersachsen,Mittelstenahe,21770
Rheinland Pfalz,Steimel,57614
Nordrhein Westfalen,Büren,33142
Sachsen,Dorfhain,1738
Hessen,Bad Sooden Allendorf,37242
Bayern,Germaringen,87656
Rheinland Pfalz,Schweich,54338
Rheinland Pfalz,Hermeskeil,54411
Bayern,Königsberg in Bayern,97486
Bremen,Bremen,28207
Bayern,Sauerlach,82054
Nordrhein Westfalen,Dorsten,46282
Bayern,Neuhaus am Inn,94152
Thüringen,Berka/Werra,99837
Sachsen,Leipzig,1457
Thüringen,Dingelstädt,37351
Hessen,Tann Rhön,36142
Rheinland Pfalz,Ruppertsweiler,66957
Hessen,Dillenburg,35683
Baden Württemberg,Lobbach,74931
Sachsen,Bernsbach,8315
Brandenburg,Michendorf,14552
Baden Württemberg,Heiligenberg,88633
Brandenburg,Kolkwitz,3099
Hessen,Wiesbaden,55252
Baden Württemberg,Sulzburg,79295
Niedersachsen,Herzlake,49770
Bayern,Schäftlarn,82069
Brandenburg,Trebbin,14959
Brandenburg,Neu Zauche,15913
Nordrhein Westfalen,Herten,45669
Bayern,Gaißach,83674
Bayern,Großostheim,63762
Thüringen,Neuhaus Schierschnitz,96524
Thüringen,Weinbergen,99998
Thüringen,Auma,7955
Nordrhein Westfalen,Menden Sauerland,58708
Hessen,Schlüchtern,36381
Baden Württemberg,Heidelberg,69123
Bayern,Garching bei München,85748
Baden Württemberg,Nattheim,89564
Bayern,Vaterstetten,85599
Bayern,Untermeitingen,86836
Baden Württemberg,Emmingen Liptingen,78576
Brandenburg,Petershagen/Eggersdorf,15370
Rheinland Pfalz,Mülheim Kärlich,56218
Schleswig Holstein,Lensahn,23738
Nordrhein Westfalen,Köln,50977
Sachsen,Porschdorf,1814
Sachsen,Ehrenfriedersdorf,9427
Nordrhein Westfalen,Wachtendonk,47669
Mecklenburg Vorpommern,Kritzmow,18198
Bayern,Eching,84174
Hessen,Friedewald,36289
Niedersachsen,Oyten,28876
Baden Württemberg,Ittlingen,74930
Hessen,Philippsthal Werra,36269
Baden Württemberg,Ebersbach an der Fils,73061
Thüringen,Bad Köstritz,7586
Bayern,München,80636
Baden Württemberg,Lottstetten,79807
Berlin,Berlin,13447
Mecklenburg Vorpommern,Wulkenzin,17039
Baden Württemberg,Ditzingen,71254
Bayern,Trostberg,83308
Bayern,Rechtmehring,83562
Bayern,Pörnbach,85309
Bayern,Bad Berneck im Fichtelgebirge,95460
Schleswig Holstein,Büsum,25761
Baden Württemberg,Balingen,72336
Baden Württemberg,Wurmberg,75449
Baden Württemberg,Möglingen,71696
Bayern,Königsmoos,86669
Niedersachsen,Rosdorf,37124
Niedersachsen,Hemmoor,21745
Bayern,Neufahrn bei Freising,85375
Hessen,Langenselbold,63505
Mecklenburg Vorpommern,Wittenburg,19423
Bayern,Kirchroth,94356
Rheinland Pfalz,Rodalben,66976
Bayern,Mitterteich,95666
Nordrhein Westfalen,Lüdinghausen,59348
Sachsen,Langenbernsdorf,8428
Thüringen,Plaue,99388
Hessen,Bürstadt,68642
Bayern,Niedertaufkirchen,84494
Nordrhein Westfalen,Kreuzau,52372
Bayern,Mintraching,93098
Baden Württemberg,Schönaich,71101
Thüringen,Ringleben,6556
Baden Württemberg,Schwaikheim,71409
Mecklenburg Vorpommern,Poseritz,18574
Hessen,Lahntal,35094
Bayern,Halfing,83128
Nordrhein Westfalen,Roetgen,52159
Berlin,Berlin,12526
Baden Württemberg,Sindelfingen,71036
Nordrhein Westfalen,Bad Wünnenberg,33181
Niedersachsen,Oberndorf,21787
Baden Württemberg,Aach,78267
Bayern,Riedenburg,93339
Bayern,Oberding,85445
Baden Württemberg,Friedrichshafen,88048
Bayern,Benningen,87734
Mecklenburg Vorpommern,Hagenow,19203
Baden Württemberg,Efringen Kirchen,79588
Sachsen Anhalt,Roitzsch,6809
Bayern,Rohr in Niederbayern,93352
Niedersachsen,Aurich,26607
Brandenburg,Plessa,4928
Nordrhein Westfalen,Nordkirchen,59394
Bayern,Thannhausen,86470
Thüringen,Langewiesen,98704
Mecklenburg Vorpommern,Göhren Lebbin,17213
Brandenburg,Rathenow,14721
Nordrhein Westfalen,Bottrop,46244
Bayern,Lauf an der Pegnitz,91207
Bayern,Meitingen,86405
Hamburg,Hamburg,20359
Niedersachsen,Großenkneten,26197
Berlin,Berlin,13053
Nordrhein Westfalen,Oberhausen,46119
Nordrhein Westfalen,Brakel,33034
Rheinland Pfalz,Kaisersesch,56759
Niedersachsen,Esens,26427
Baden Württemberg,Heidelberg,69117
Berlin,Berlin,13129
Bayern,Aindling,86447
Hessen,Reichelsheim Odenwald,64385
Hessen,Mühltal,64367
Bayern,Kirchberg im Wald,94259
Brandenburg,Hohen Neuendorf,16562
Schleswig Holstein,Lübeck,23750
Brandenburg,Treuenbrietzen,14929
Hessen,Dornburg,65599
Bayern,Piding,83451
Baden Württemberg,Laufenburg Baden,79725
Thüringen,Sonneberg,86515
Bayern,Möttingen,86753
Bayern,Hutthurm,94116
Hamburg,Hamburg,22397
Thüringen,Saalburg Ebersdorf,7929
Baden Württemberg,Abstatt,74232
Niedersachsen,Nienhagen,29336
Niedersachsen,Dollern,21739
Baden Württemberg,Besigheim,74354
Bayern,Bad Königshofen im Grabfeld,97631
Baden Württemberg,Mietingen,88487
Bayern,Nürnberg,90455
Berlin,Berlin,14169
Rheinland Pfalz,Welschbillig,54298
Bayern,Buxheim,87740
Rheinland Pfalz,Martinshöhe,66894
Baden Württemberg,Neidenstein,74933
Schleswig Holstein,Lübeck,23570
Nordrhein Westfalen,Borgholzhausen,33829
Saarland,Ottweiler,66564
Bayern,Burtenbach,89349
Bayern,Bindlach,95463
Bayern,Egenhofen,82281
Brandenburg,Königs Wusterhausen,15711
Brandenburg,Schönwalde Glien,14621
Hessen,Groß Bieberau,64401
Sachsen,Zwickau,8051
Hamburg,Hamburg,22148
Sachsen,Boxberg/Oberlausitz,2999
Bayern,Röhrmoos,85244
Sachsen Anhalt,Nedlitz,39264
Bayern,Obernburg am Main,63785
Hessen,Wiesbaden,65252
Baden Württemberg,Reutlingen,72770
Brandenburg,Falkenberg/Elster,4985
Bayern,Frauenau,94258
Bayern,Neunkirchen am Brand,91077
Hessen,Hosenfeld,36154
Bayern,Grattersdorf,94541
Baden Württemberg,Dettenhausen,72135
Baden Württemberg,Bad Waldsee,88339
Bayern,Altmannstein,93336
Mecklenburg Vorpommern,Wittenburg,19243
Baden Württemberg,Altbach,73776
Bayern,Fürstenstein,94538
Hamburg,Hamburg,20539
Mecklenburg Vorpommern,Lindetal,17349
Rheinland Pfalz,Gillenfeld,54558
Schleswig Holstein,Steinbergkirche,24972
Niedersachsen,Braunschweig,38110
Niedersachsen,Schiffdorf,27619
Mecklenburg Vorpommern,Rechlin,17248
Rheinland Pfalz,Volkesfeld,56745
Niedersachsen,Garstedt,21441
Nordrhein Westfalen,Bochum,44597
Bayern,Ahorn,96482
Hessen,Löhnberg,35792
Baden Württemberg,Obersulm,74182
Thüringen,Mihla,99826
Berlin,Berlin,12359
Bayern,Tiefenbach,84184
Niedersachsen,Zetel,26340
Baden Württemberg,Radolfzell am Bodensee,78315
Niedersachsen,Eystrup,27324
Brandenburg,Bad Wilsnack,19336
Bayern,Pullach im Isartal,82049
Rheinland Pfalz,Mettenheim,67582
Baden Württemberg,Hemmingen,71282
Baden Württemberg,Freiburg im Breisgau,79102
Baden Württemberg,Reutlingen,72762
Bayern,Drachselsried,94256
Bayern,Illertissen,89257
Schleswig Holstein,Tangstedt,22889
Berlin,Berlin,12107
Mecklenburg Vorpommern,Grambow,17329
Baden Württemberg,Kusterdingen,72127
Rheinland Pfalz,Birkenheide,67134
Schleswig Holstein,Wrist,25563
Baden Württemberg,Spechbach,74937
Bayern,Unterhaching,82008
Niedersachsen,Gittelde,37534
Baden Württemberg,Isny im Allgäu,88316
Nordrhein Westfalen,Bad Sassendorf,59505
Sachsen,Naunhof,4683
Bayern,Sünching,93104
Bayern,Bad Rodach,96476
Bayern,Sommerhausen,97286
Baden Württemberg,Furtwangen im Schwarzwald,78120
Bayern,Ainring,83404
Bayern,Furth,84095
Niedersachsen,Hohne,29362
Bayern,Küps,96328
Niedersachsen,Barsinghausen,31890
Baden Württemberg,Pliezhausen,72124
Bayern,Prichsenstadt,97357
Nordrhein Westfalen,Ochtrup,48607
Bayern,Höchstadt an der Aisch,91315
Schleswig Holstein,Haseldorf,25489
Bayern,Huglfing,82386
Hamburg,Hamburg,22177
Bayern,Hirschaid,96114
Rheinland Pfalz,Ehlscheid,56581
Hamburg,Hamburg,21033
Thüringen,Rastenberg,99636
Rheinland Pfalz,Kastellaun,56288
Baden Württemberg,Gammelshausen,73108
Brandenburg,Heidesee,15754
Bayern,Ascha,94347
Hessen,Rodenbach,63517
Hessen,Waldeck,34513
Thüringen,Mönchenholzhausen,99198
Hessen,Biblis,68647
Niedersachsen,Nordhorn,48529
Rheinland Pfalz,Jockgrim,76751
Hessen,Wald Michelbach,69483
Brandenburg,Müllrose,15299
Schleswig Holstein,Tönning,25832
Nordrhein Westfalen,Grevenbroich,41516
Rheinland Pfalz,Kirrweiler Pfalz,67489
Bayern,Attenhofen,84091
Sachsen Anhalt,Quedlinburg,38875
Bayern,Schmiechen,86511
Sachsen,Moritzburg,1468
Thüringen,Sondershausen,99706
Sachsen,Zwickau,8858
Baden Württemberg,Stühlingen,79780
Bayern,Stadtsteinach,95346
Hessen,Marburg,35041
Berlin,Berlin,12621
Baden Württemberg,Wangen im Allgäu,88239
Bayern,Lindenberg im Allgäu,88161
Niedersachsen,Sibbesse,31079
Niedersachsen,Schöppenstedt,38170
Saarland,Saarbrücken,57600
Mecklenburg Vorpommern,Schönberg,23923
Nordrhein Westfalen,Detmold,33796
Niedersachsen,Scharnebeck,21379
Baden Württemberg,Asperg,71679
Niedersachsen,Goslar,38644
Hamburg,Hamburg,22113
Baden Württemberg,Weilheim an der Teck,73235
Baden Württemberg,Straubenhardt,75334
Rheinland Pfalz,Koblenz,56073
Nordrhein Westfalen,Halver,58553
Hessen,Fischbachtal,64405
Rheinland Pfalz,Burgbrohl,56659
Schleswig Holstein,Stoltebüll,24409
Niedersachsen,Boitze,21368
Bayern,Karlshuld,86668
Sachsen Anhalt,Neundorf Anhalt,39148
Berlin,Berlin,12679
Hessen,Walluf,65396
Nordrhein Westfalen,Hünxe,46569
Brandenburg,Schipkau,1993
Sachsen Anhalt,Loburg,39279
Baden Württemberg,Gaggenau,76571
Sachsen Anhalt,Zörbig,6780
Brandenburg,Königs Wusterhausen,15713
Bayern,Bad Birnbach,84364
Nordrhein Westfalen,Dinslaken,46537
Rheinland Pfalz,Budenheim,55257
Baden Württemberg,Dettingen unter Teck,73265
Baden Württemberg,Welzheim,73642
Nordrhein Westfalen,Leopoldshöhe,33818
Niedersachsen,Uelsen,49843
Thüringen,Niederdorla,99986
Rheinland Pfalz,Heuchelheim bei Frankenthal,67259
Schleswig Holstein,Süderbrarup,24392
Hessen,Elz,65604
Brandenburg,Gransee,16675
Brandenburg,Königs Wusterhausen,15712
Nordrhein Westfalen,Erkrath,40669
Baden Württemberg,Reutlingen,72768
Bayern,Kipfenberg,85110
Hessen,Haiger,35708
Bayern,Regen,94209
Baden Württemberg,Zell im Wiesental,79669
Bayern,Lalling,94551
Bayern,Schweinfurt,97424
Bayern,München,81671
Thüringen,Eisenberg,7607
Niedersachsen,Lingen Ems,49809
Bayern,Treuchtlingen,91757
Saarland,Saarwellingen,66793
Rheinland Pfalz,Westhofen,67593
Rheinland Pfalz,Hochspeyer,67691
Baden Württemberg,Steinenbronn,71144
Bayern,Burgthann,90559
Nordrhein Westfalen,Versmold,33775
Niedersachsen,Emmerthal,31860
Baden Württemberg,Burladingen,72393
Bayern,Massing,84323
Bayern,Sankt Wolfgang,84427
Bayern,Beilngries,92339
Bayern,Marktoberdorf,87616
Nordrhein Westfalen,Troisdorf,53844
Niedersachsen,Hannover,30451
Baden Württemberg,Zwiefalten,88529
Baden Württemberg,Oppenau,77728
Rheinland Pfalz,Rodenbach,67688
Bayern,Fürstenfeldbruck,82266
Niedersachsen,Cuxhaven,27478
Brandenburg,Reitwein,15328
Bayern,Elsenfeld,63820
Bayern,Ziemetshausen,86473
Schleswig Holstein,Christiansholm,24799
Bayern,Pocking,94060
Bayern,Höchstädt an der Donau,89420
Schleswig Holstein,Neuenbrook,25578
Niedersachsen,Algermissen,31191
Bayern,Amerang,83123
Bayern,Eichendorf,94428
Baden Württemberg,Ohmden,73275
Bayern,Niederschönenfeld,86694
Niedersachsen,Elze,31008
Brandenburg,Teupitz,15755
Nordrhein Westfalen,Münster,48169
Baden Württemberg,Öhningen,78337
Hamburg,Hamburg,22549
Hessen,Waldsolms,35647
Rheinland Pfalz,Ludwigshafen am Rhein,67021
Bayern,Bad Heilbrunn,83670
Niedersachsen,Calberlah,38547
Sachsen,Reinsberg,9629
Hessen,Staufenberg,35460
Brandenburg,Mühlenberge,14662
Bayern,Leipheim,89340
Baden Württemberg,Kirchdorf an der Iller,88457
Bayern,Rötz,92444
Niedersachsen,Helmstedt,38500
Hessen,Lautertal Odenwald,64686
Baden Württemberg,Westerheim,72589
Baden Württemberg,Freiberg am Neckar,71691
Sachsen Anhalt,Altmarkkreis Salzwedel,29413
Rheinland Pfalz,Wattenheim,67319
